epoch,split,loss,dice_loss,focal_loss,boundary_loss,dice,iou,precision,recall,specificity,hd95,lr
1,train,0.5372841021174074,0.9988060309458731,0.007633979595001702,0.17795445533787332,0.8293511631623794,0.8293445229417495,9.11960983137201e-06,0.0001765643666129962,0.9981214038822261,-1.0,9.755527298894293e-05
1,val,0.5159457524617513,0.9996628300065086,0.0007422117709038069,0.07945836051588967,0.8981273437199804,0.8981273437199804,0.0,0.0,0.9999088930127423,-1.0,9.755527298894293e-05
2,train,0.5091144863491313,0.9978354176105787,0.0013704044460706819,0.04892827986332768,0.8713434659671269,0.8711747420285779,0.0011397613699570888,0.000493605411894937,0.9999508567404839,-1.0,9.046039886902862e-05
2,val,0.5056189543434552,0.9977000313145774,0.0010012443926176015,0.03234280889765138,0.4134859552740307,0.40950352122715117,0.01840715721470161,0.016597990612790603,0.9974716262533316,-1.0,9.046039886902862e-05
3,train,0.49118417858284485,0.9723752000908101,0.0035733440394497564,0.019622877061557017,0.5102703224156588,0.5028692939715111,0.03132431651542525,0.03434180913234693,0.9967474548272053,-1.0,7.940987335200904e-05
3,val,0.49784626882700694,0.9928778743460065,0.0013084015343559578,0.005074075151545306,0.7507561759743943,0.748873870511082,0.010426121263993374,0.0077588581380255515,0.9993744600061067,-1.0,7.940987335200904e-05
4,train,0.426381297723417,0.8485790078761573,0.003563303220111728,0.00511401070973902,0.7766910716837584,0.7703226600542202,0.036444428785086184,0.03370373156656091,0.999358022331358,-1.0,6.548539886902863e-05
4,val,0.48737366603953497,0.9735627365963799,0.001015746545926068,0.0014378730619292973,0.8901240284405353,0.887129825698383,0.0213278599993782,0.014177395472551308,0.9998795824736552,-1.0,6.548539886902863e-05
5,train,0.36486436668246525,0.7262747259996418,0.003225319666813154,0.0037970330659803436,0.8464565686752981,0.8397270248291039,0.04206739871215366,0.0377099955306097,0.9997272887072345,-1.0,5.0050000000000004e-05
5,val,0.479500472368229,0.9566973348458608,0.001937762203829816,0.0028523993958168873,0.8314953140491287,0.8263328850414503,0.028153557620788455,0.03070200632669874,0.9996760104189918,2.175985132024709,5.0050000000000004e-05
6,train,0.3403394421038038,0.677255460203619,0.003084137241086352,0.003932351017957059,0.8615564306793404,0.8545794422986098,0.04558034260994076,0.03953159376684142,0.9997733775146437,-1.0,3.461460113097139e-05
6,val,0.4838816069421314,0.9661157315685636,0.0015516282927364145,0.0017912455968187367,0.9001730795665414,0.896007895741311,0.025737869120080026,0.02055604862055162,0.9998336180471764,-1.0,3.461460113097139e-05
7,train,0.31758643877165943,0.6317905436730438,0.002932474705742704,0.004057120622926358,0.8750016466675847,0.8678660458219264,0.04703160151451733,0.04231085888621289,0.999811682527848,-1.0,2.069012664799097e-05
7,val,0.4824119902082852,0.9631277812378747,0.001496624180170624,0.001995550193268649,0.8926053781760795,0.8879324362524732,0.027402254014998347,0.02551609695107669,0.9998587263095586,-1.0,2.069012664799097e-05
8,train,0.2972195958532806,0.5912281771721174,0.002667444144065573,0.00402637124798497,0.8893553894788242,0.8817022929597321,0.051154137622404755,0.04611916621446161,0.999840975564243,-1.0,9.639601130971381e-06
8,val,0.4809536650067284,0.9605803071033387,0.0012371794122477545,0.0014617812609165931,0.9189774372200746,0.9142658372005495,0.029593996631612125,0.02485889103026437,0.9998984525167572,-1.0,9.639601130971381e-06
9,train,0.2967223420722654,0.5902719015953546,0.0026046548087697735,0.004024975981710849,0.8930518328279758,0.8854628623194946,0.05290855888843572,0.04654212161441436,0.9998535684327451,-1.0,2.544727011057081e-06
9,val,0.4831904809744585,0.9652454696950459,0.001078573296411061,0.0012208625129936817,0.9347216739137868,0.9304271852352815,0.02856748590779213,0.022188413383845796,0.9999402255972958,-1.0,2.544727011057081e-06
10,train,0.2940835805461141,0.5850220929228281,0.0025126939464028115,0.004093631206547543,0.8946859937938203,0.886977566013071,0.05331030429352933,0.047664628723785435,0.9998574882857572,-1.0,0.0001
10,val,0.48309693831418243,0.9651841748328436,0.0009895187072992066,0.0010399669398620539,0.9358467273506351,0.9316793946752049,0.028017505802241067,0.020378972057465163,0.9999567112169361,0.23816370328261727,0.0001
11,train,0.32554249024377957,0.6474457066630048,0.00338260851429141,0.004024275177956278,0.8732574556969384,0.8661873374969238,0.047405252888321724,0.040162725347121384,0.9998153354307223,-1.0,9.938503261272713e-05
11,val,0.48161511309444904,0.9614491256929579,0.0016047403626309731,0.0020456268432932725,0.9264385096974465,0.922414959190022,0.03039671576463713,0.022845049809362337,0.9998868685661214,-1.0,9.938503261272713e-05
12,train,0.3169870444381415,0.6302755539142372,0.0033337810995511855,0.004245663704717242,0.8748022795298251,0.8676508356246216,0.04845823951348917,0.042671514683963546,0.9998013664191809,-1.0,9.755527298894293e-05
12,val,0.4824662244923058,0.9631865386451993,0.0016236588942663967,0.0019292812706312578,0.9090672295004749,0.9047308940397006,0.029465562162702245,0.023650244938300324,0.999841844256204,-1.0,9.755527298894293e-05
13,train,0.30387377966310986,0.6040634506293252,0.0033550993771136197,0.004177623051847056,0.8829620980222536,0.8758378024066861,0.04936365587715405,0.04335881988799084,0.9998377241921518,-1.0,9.455577588320898e-05
13,val,0.4835737571120262,0.9656172657296771,0.0014694750308913746,0.00162140833207521,0.9347248178742962,0.9304305880177589,0.025540551886688034,0.024824596175107103,0.9999169887998896,-1.0,9.455577588320898e-05
14,train,0.3041232418136758,0.6045619794508306,0.003313188252568389,0.004241476347901341,0.8834092514302201,0.8758932804888058,0.05126503889087689,0.04525795881676396,0.9998303121309569,-1.0,9.046039886902862e-05
14,val,0.48328924977353643,0.9653183221817017,0.0012163397578479863,0.0013259408138383475,0.9208385077092828,0.9169163053853889,0.02816472218347524,0.01679597619074818,0.999958851248753,-1.0,9.046039886902862e-05
15,train,0.2936072680777034,0.5836216823224747,0.003245528472851148,0.004113841909208467,0.8898250039789669,0.8823914563215193,0.0520469382272697,0.046064887067692364,0.9998407255498091,-1.0,8.536998372026805e-05
15,val,0.4866652385819526,0.9721590557268688,0.001241467240290305,0.0010663497710422256,0.9356638645419877,0.9323166771021205,0.02195307232631499,0.01763453167473231,0.9999734932323049,0.07373652048434425,8.536998372026805e-05
16,train,0.28859226518989994,0.5736842452158156,0.0031113724264884616,0.004083656032682641,0.900084976484596,0.89266588736525,0.05261583224163765,0.04745978194489015,0.9998642195501071,-1.0,7.940987335200904e-05
16,val,0.48375837079116274,0.9664214416628792,0.0011479862566327876,0.0010162589156746684,0.9230033537861988,0.9190148352383264,0.02871530205917668,0.012862429076817047,0.9999753548301547,-1.0,7.940987335200904e-05
17,train,0.2751341338089756,0.5468818809663641,0.0028149345958043154,0.004243565128097709,0.903290731608244,0.8952825941755064,0.057190407038366316,0.0507270955649341,0.9998616655499888,-1.0,7.272682546199037e-05
17,val,0.4828643114084289,0.9643721396014804,0.0013746516484794491,0.0013292299306731554,0.9302575642817995,0.9263776009469423,0.02673769484796269,0.016737461991213412,0.9999372473233783,-1.0,7.272682546199037e-05
18,train,0.2686231986220984,0.5338846446405229,0.0027130185402565476,0.004334855660969139,0.9055830150825375,0.8975968360397597,0.05721044600564184,0.0515305571753963,0.999859320700894,-1.0,6.548539886902863e-05
18,val,0.47325793511810754,0.9453402956326803,0.0010514450849900196,0.0013617723639907943,0.9270392330859095,0.9213571400946363,0.037685724739525216,0.032533383889733654,0.9999407498862771,-1.0,6.548539886902863e-05
19,train,0.2609938120597482,0.5188220012478713,0.002492047343139159,0.0041759841080867485,0.9101315031197272,0.9021411995018934,0.058290867628464894,0.05287421349888418,0.9998842642385456,-1.0,5.786390152875954e-05
19,val,0.4784483416449456,0.9553074219397136,0.0014444285273621325,0.0018065064464927278,0.9344604083045003,0.9289896375588507,0.03752819867371086,0.027743637356577908,0.9999117961379025,-1.0,5.786390152875954e-05
20,train,0.25082824689164723,0.4985573973068905,0.002325423564502088,0.0042596044000279484,0.9146569999927384,0.9065091649016049,0.060073979488498894,0.054807854921053466,0.9998795504640905,-1.0,5.0050000000000004e-05
20,val,0.47108394155899685,0.9408772169124513,0.0011359071925906073,0.0015228018731959093,0.9364043556998255,0.930710516091606,0.04038739128226577,0.03090943992978166,0.9999209806412646,0.4093777963252438,5.0050000000000004e-05
21,train,0.2509803898516885,0.49895471473226527,0.002204869939010678,0.004207857748665326,0.9154066002189605,0.9071242697475895,0.061746527765979706,0.055136815211183306,0.9998847209419304,-1.0,4.223609847124049e-05
21,val,0.4716460609010288,0.9417892808005923,0.0012784090821176676,0.0018394919258693811,0.9307128095789821,0.924919639731896,0.03752374245829542,0.033186075733315196,0.9999162077869933,-1.0,4.223609847124049e-05
22,train,0.2375153972831309,0.47206289772183824,0.0020914677024795117,0.004282541540197561,0.9186366387846482,0.9102229156224998,0.06313629080161141,0.05744198639502925,0.9998899756126048,-1.0,3.461460113097139e-05
22,val,0.47278905615565325,0.9443836574043546,0.0010531055988313403,0.001406487935763526,0.9411303551323689,0.9350588680418207,0.039269879937216305,0.034055577128848984,0.9999326217539062,-1.0,3.461460113097139e-05
23,train,0.2305305172914346,0.45812725736666676,0.002020074995654944,0.004304329284787651,0.9228707458948066,0.9145340058004663,0.06348504090864165,0.05856303431806339,0.9998908893649918,-1.0,2.737317453800964e-05
23,val,0.4700800290419942,0.9385857674337569,0.0013260030810008881,0.0019467240497084571,0.9388769573245948,0.9325276675828524,0.04079741005600055,0.03612340748755514,0.9999176602643189,-1.0,2.737317453800964e-05
